Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,20,Grabovska ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,25,Brancuska ,-,O,8,7,0,1,-,26.32,7,2,2,11,45.45,0,1,2,3,-33.33,1,0,4,5,20,0,0,0,0,-,2,0,2,100,1,0,1,2,50
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,1,Kneiflova ,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,1,1,-100,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,4,Pavlova ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,5,Svobodova ,-,OH,0,0,0,0,-,0,0,0,2,2,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,1,0,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,6,Grozer ,-,OH,3,3,0,0,-,15.38,3,0,4,7,42.86,0,0,2,2,0,0,1,3,4,-25,2,0,5,7,28.57,2,0,2,100,0,0,4,4,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,7,Bukovska ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,8,Koulisiani ,-,MB,0,0,0,0,-,-28.57,0,0,2,2,0,0,1,0,1,-100,0,1,3,4,-25,0,0,0,0,-,1,0,1,100,0,0,1,1,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,9,Digrinova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,3,1,6,10,20,3,1,5,40,0,0,3,3,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,10,Valkova ,-,S,0,0,0,0,-,-27.27,0,0,2,2,0,0,3,0,3,-100,0,0,6,6,0,0,0,0,0,-,1,1,2,0,11,1,16,28,35.71
