Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,22,Buddin ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,24,Disquitado ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,1,Bagunas ,C,OH,6,5,1,0,-,12.5,5,2,5,12,25,1,1,0,2,0,0,1,1,2,-50,1,0,7,8,12.5,0,0,0,-,0,0,1,1,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,2,Ybanez ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,3,1,5,9,22.22,1,0,1,100,0,0,3,3,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,3,Retamar ,-,S,1,0,1,0,-,-16.67,0,0,0,0,-,1,2,0,3,-33.33,0,0,3,3,0,0,0,0,0,-,0,0,2,0,9,0,13,22,40.91
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,4,Lorenzo ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,7,Malabunga ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,13,Kalingking ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,15,Espejo ,-,OH,3,3,0,0,-,11.11,3,0,3,6,50,0,1,0,1,-100,0,1,1,2,-50,1,0,6,7,14.29,0,0,1,0,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,2,16,Taguibolos ,-,MB,2,1,1,0,-,-16.67,1,0,0,1,100,1,2,0,3,-33.33,0,1,1,2,-50,0,0,0,0,-,0,0,2,0,0,0,0,0,-
